0	10	14	18	22	26	30	34	38	42	46	50	54	58	62	66	70	74	78	82	86	90	94	98	102	106	110	114	118	122	126	130	134	138	142	146	150	154	158	162	166	170	174	178	182	186	190	194	198
5	-31765.76	-30738.57	-30281.57	-30261.6	-30251.16	-30261.17	-30306.22	-30799.1	-30873.02	-30931.92	-31411.55	-31563.01	-31605	-32081.05	-33235.99	-33034.09	-32959.39	-32963.56	-32981.22	-32988.93	-33008.1	-33014.64	-33024.36	-33035.62	-33037.54	-33042.61	-33063.14	-33072.52	-33072.52	-33073.01	-33073.62	-33073.62	-33079.16	-33079.16	-33079.16	-33082.27	-33082.27	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96
15	-31765.76	-30738.57	-30281.57	-30261.6	-30251.16	-30261.17	-30306.22	-30799.1	-30873.02	-30931.92	-31411.55	-31563.01	-31605	-32081.05	-33235.99	-33034.09	-32959.39	-32963.56	-32981.22	-32988.93	-33008.1	-33014.64	-33024.36	-33035.62	-33037.54	-33042.61	-33063.14	-33072.52	-33072.52	-33073.01	-33073.62	-33073.62	-33079.16	-33079.16	-33079.16	-33082.27	-33082.27	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96
25	-31765.76	-30738.57	-30281.57	-30261.6	-30251.16	-30261.17	-30306.22	-30799.1	-30873.02	-30931.92	-31411.55	-31563.01	-31605	-32081.05	-33235.99	-33034.09	-32959.39	-32963.56	-32981.22	-32988.93	-33008.1	-33014.64	-33024.36	-33035.62	-33037.54	-33042.61	-33063.14	-33072.52	-33072.52	-33073.01	-33073.62	-33073.62	-33079.16	-33079.16	-33079.16	-33082.27	-33082.27	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96
35	-31765.76	-30738.57	-30281.57	-30261.6	-30251.16	-30261.17	-30306.22	-30799.1	-30873.02	-30931.92	-31411.55	-31563.01	-31605	-32081.05	-33235.99	-33034.09	-32959.39	-32963.56	-32981.22	-32988.93	-33008.1	-33014.64	-33024.36	-33035.62	-33037.54	-33042.61	-33063.14	-33072.52	-33072.52	-33073.01	-33073.62	-33073.62	-33079.16	-33079.16	-33079.16	-33082.27	-33082.27	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96	-33084.96
45	-31818.11	-31182.34	-30324.43	-29973.62	-29911.75	-29800.89	-29740.96	-30111.47	-30165.65	-30217.66	-30262	-30606.03	-30637.75	-30947.43	-31204.39	-31251.31	-31422.23	-32042.58	-32836.57	-32875.72	-32928.79	-32908.18	-32929.9	-32965.08	-32978.9	-32992.65	-33005.54	-33015.83	-33021.36	-33040.46	-33054.08	-33066.73	-33067.11	-33069.81	-33075.01	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33080.07	-33080.07	-33080.07	-33080.07	-33080.07
55	-31818.11	-31182.34	-30324.43	-29973.62	-29911.75	-29800.89	-29740.96	-30111.47	-30165.65	-30217.66	-30262	-30606.03	-30637.75	-30947.43	-31204.39	-31251.31	-31422.23	-32042.58	-32836.57	-32875.72	-32928.79	-32908.18	-32929.9	-32965.08	-32978.9	-32992.65	-33005.54	-33015.83	-33021.36	-33040.46	-33054.08	-33066.73	-33067.11	-33069.81	-33075.01	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33078.12	-33080.07	-33080.07	-33080.07	-33080.07	-33080.07
65	-31956.36	-31590.03	-30810.73	-30248.14	-29893.29	-29737.62	-29739.08	-29811.33	-29789.21	-30031.85	-30031.41	-30342.6	-30373.41	-30658.27	-30780.75	-30911.6	-31000.8	-31515.82	-31580.85	-31887.42	-31924.96	-31915.78	-32788.98	-32807.57	-32834.64	-32851.89	-32896.17	-32929.05	-32949.11	-32967	-32973.48	-32993.06	-33016.77	-33028.19	-33042.05	-33047.69	-33055.01	-33059.33	-33059.33	-33066.45	-33065.59	-33073.12	-33073.12	-33076.07	-33076.07	-33076.07	-33076.07	-33078.12
75	-32005.58	-31823.06	-31221.63	-30605.16	-30153.51	-29903.29	-29716.72	-29892.64	-29822.17	-30045.99	-30017.83	-29997.7	-30270.92	-30302.23	-30308.94	-30356.14	-30445.27	-30823.86	-30913.87	-30961.26	-31019.96	-31366.25	-31384.25	-32166.79	-32715.29	-32747.75	-32762.5	-32784.9	-32819.87	-32859.55	-32896.9	-32918.29	-32940.9	-32964.89	-32996.32	-33013.67	-33022.1	-33021.61	-33033.67	-33034.55	-33035.64	-33037.35	-33045.88	-33053.46	-33057.83	-33059.56	-33063.93	-33068.47
85	-32021.71	-31939.19	-31520.09	-30943.2	-30404.19	-30081.33	-29847.58	-29677.23	-29891.3	-29826.28	-29770.17	-30007.29	-29966.89	-29945.46	-30236.59	-30238.77	-30270.74	-30295.68	-30551.65	-30662.26	-30835.23	-30868.98	-31006.82	-31322.51	-32661.18	-32697.12	-32703.22	-32661.76	-32691.92	-32743.17	-32789.22	-32814.6	-32845.99	-32856.48	-32877.98	-32903.71	-32925.91	-32946.38	-32959.95	-32972.07	-32996.67	-33001.47	-33017.21	-33021.58	-33026.13	-33031.18	-33033.48	-33035.2
95	-32026.16	-31994.94	-31761.48	-31230.98	-30682.63	-30286.61	-29984.41	-29781.22	-29675.55	-29871.19	-29811.4	-29747.02	-30000.92	-29964.95	-29958.5	-29949.17	-30224.74	-30226.21	-30484.52	-30489.65	-30606.22	-30601.56	-30669.63	-30898	-30936.36	-31257.07	-31704.59	-31707.36	-31715.3	-32657.74	-32670.08	-32698.86	-32728.69	-32762.41	-32789.74	-32824.49	-32838.73	-32855.99	-32869.51	-32878.35	-32915.27	-32917.47	-32937.76	-32960.55	-32975.53	-32980.56	-32990.5	-33001.92
105	-32026.16	-32017.78	-31899.57	-31467.75	-30945.49	-30493.64	-30148.94	-29915.77	-29743.77	-29808.58	-29855.43	-29804.62	-29749.7	-29999.41	-29976.75	-29947.58	-30217.86	-30206.07	-30226.16	-30227.52	-30580.19	-30583.55	-30587.84	-30649.75	-30667.44	-30856.8	-31139.62	-31164.34	-31612.24	-31633.05	-31665.21	-31736.89	-31808.84	-32646.19	-32686.52	-32716.6	-32762.94	-32787.82	-32807	-32828.04	-32859.41	-32885.45	-32903.82	-32910.54	-32937.85	-32950.79	-32952.02	-32968.13
115	-32026.16	-32025.05	-32021.42	-31826.29	-31350.74	-30959.32	-30474.97	-30169.16	-29955.74	-29780.33	-29841.15	-29915.61	-29846.6	-29785.44	-30036.29	-29998.94	-29967.87	-30232.33	-30207.03	-30192.59	-30425.34	-30430.38	-30435.78	-30430.26	-30433.73	-30594.44	-30614.56	-30646.68	-31119.06	-31128.42	-31555.71	-31578.51	-31592.44	-31614.15	-31670.94	-32608.62	-32653.05	-32639.74	-32690.19	-32722.15	-32733.74	-32750.36	-32791.04	-32819.02	-32840.8	-32868.76	-32890.48	-32895.62
125	-32026.16	-32026.16	-32025.05	-31930.04	-31566.66	-31103.52	-30645.26	-30264.49	-30070.31	-29882.3	-29904.53	-29807.68	-29888.87	-29826.25	-29781.7	-29732.55	-29987.67	-29964.06	-30216.28	-30204.4	-30433.45	-30423.92	-30419.1	-30417.19	-30418.88	-30413.78	-30520.64	-30571.43	-31046.25	-31039.38	-31107.75	-31126.58	-31159.34	-31170.99	-31580.64	-31634.92	-31643.37	-32582.05	-32628.57	-32632.3	-32669.79	-32684.89	-32728.78	-32755.01	-32781.33	-32807.55	-32828.95	-32855.93
135	-32026.16	-32026.16	-32025.05	-31996.94	-31865.46	-31413.8	-30981.76	-30578.97	-30262.17	-30047	-29864.33	-29747.89	-29827.22	-29895.71	-29829.94	-29791.51	-29753.86	-29717.01	-29975.32	-29945.54	-30444.07	-30434.83	-30429.58	-30420.33	-30410.15	-30410.11	-30407.22	-30411.81	-30533.33	-30535.99	-30534.83	-31012.7	-31014.37	-31010.17	-31029.18	-31063.13	-31128.17	-31542.09	-31546.4	-32511.02	-32576.17	-32610.8	-32647.45	-32631.61	-32665.25	-32692.84	-32718.24	-32749.01
145	-32026.16	-32026.16	-32026.16	-32025.06	-31958.84	-31781.1	-31310.59	-30864.91	-30491.71	-30248.9	-30033.27	-29861.43	-29754.84	-29822.4	-29887.47	-29842.08	-29795.38	-29761.25	-30018.87	-29993.02	-30257.9	-30458.2	-30440.71	-30434.47	-30421.94	-30413.01	-30411.72	-30403.34	-30400.52	-30506.78	-30504.65	-30968.34	-30967.06	-30964.41	-30972.55	-30985.84	-30998.08	-31012.46	-31058.27	-31109.49	-31127.32	-32477.88	-32507.33	-32570.98	-32595.06	-32636.4	-32655.22	-32626.93
155	-32026.16	-32026.16	-32026.16	-32026.16	-32013.43	-31933.64	-31658.45	-31172.15	-30756.88	-30405.37	-30196.38	-29997.06	-29839.77	-29738.75	-29798.75	-29892.01	-29844.69	-29791.07	-29758.02	-30019.48	-29995.02	-30258.78	-30458.64	-30442.11	-30430.91	-30424.09	-30416.47	-30410.93	-30401.28	-30509.66	-30504.72	-30503.58	-30963.45	-30962.34	-30960.05	-30962.39	-30966.97	-30976.44	-30975.11	-30986.18	-31033.43	-31046.05	-31470.23	-32436.37	-32474.21	-32495.11	-32529.52	-32570.24
